EmployeeNumber,EmployeeName,Department,JobRole,Attrition_Prob,Risk,occupation_title,gap_count,skill_gap,recommendation
1,Mateo Green,Sales,Sales Executive,0.909,HIGH,Sales Managers,3,"Active Learning, Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Office software -> Microsoft Office Essentials
2,Kenneth Chen,Research & Development,Research Scientist,0.108,LOW,Natural Sciences Managers,4,"Critical Thinking, Microsoft Office software, Microsoft PowerPoint, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
4,Steven Shah,Research & Development,Laboratory Technician,0.796,HIGH,Chemical Technicians,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
5,Fatima Muller,Research & Development,Research Scientist,0.385,MEDIUM,Natural Sciences Managers,2,"Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
7,Sanjay Wright (7),Research & Development,Laboratory Technician,0.768,HIGH,Chemical Technicians,2,"Microsoft Office software, Microsoft Outlook",Priority: Microsoft Office software -> Microsoft Office Essentials
8,Betty Robinson,Research & Development,Laboratory Technician,0.227,LOW,Chemical Technicians,3,"Microsoft Excel, Microsoft Outlook, Monitoring",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
10,Stephanie Ivanova,Research & Development,Laboratory Technician,0.502,MEDIUM,Chemical Technicians,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
11,Divya Ahmed,Research & Development,Laboratory Technician,0.413,MEDIUM,Chemical Technicians,4,"Critical Thinking, Microsoft Outlook, Science, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
12,Michael Liu,Research & Development,Manufacturing Director,0.344,MEDIUM,Industrial Production Managers,4,"Microsoft Excel, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
13,Anthony Ibrahim,Research & Development,Healthcare Representative,0.133,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Critical Thinking, Microsoft Outlook",Priority: Critical Thinking -> Structured Problem Solving workshop
14,Fatima Hernandez,Research & Development,Laboratory Technician,0.265,LOW,Chemical Technicians,2,"Microsoft Office software, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
15,David Zhao,Research & Development,Laboratory Technician,0.677,HIGH,Chemical Technicians,2,"Active Listening, Microsoft Office software",Priority: Active Listening -> Active Listening for Managers
16,Betty Wilson,Research & Development,Research Scientist,0.387,MEDIUM,Natural Sciences Managers,2,"Monitoring, Writing",Priority: Monitoring -> Performance Monitoring & KPIs
18,Elizabeth Wright,Research & Development,Laboratory Technician,0.134,LOW,Chemical Technicians,3,"Active Listening, Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
19,Brian Rao,Research & Development,Laboratory Technician,0.965,HIGH,Chemical Technicians,3,"Microsoft Outlook, Monitoring, Writing",Priority: Monitoring -> Performance Monitoring & KPIs
20,Lee Williams,Research & Development,Manufacturing Director,0.252,LOW,Industrial Production Managers,4,"Active Listening, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
21,Susan Thomas (21),Research & Development,Research Scientist,0.184,LOW,Natural Sciences Managers,2,"Critical Thinking, Microsoft Office software",Priority: Critical Thinking -> Structured Problem Solving workshop
22,Michael Taylor (22),Research & Development,Laboratory Technician,0.466,MEDIUM,Chemical Technicians,3,"Active Listening, Critical Thinking, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
23,Neha Mitchell,Sales,Manager,0.019,LOW,General and Operations Managers,2,"Active Learning, Monitoring",Priority: Monitoring -> Performance Monitoring & KPIs
24,Sergei Singh,Research & Development,Research Scientist,0.453,MEDIUM,Natural Sciences Managers,3,"Microsoft Office software, Science, Writing",Priority: Microsoft Office software -> Microsoft Office Essentials
26,Kim Young,Research & Development,Manufacturing Director,0.007,LOW,Industrial Production Managers,3,"Active Listening, Microsoft Outlook, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
27,Ling Allen,Sales,Sales Representative,0.785,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Microsoft Office software, Salesforce software",Priority: Microsoft Office software -> Microsoft Office Essentials
28,Andrew Nair,Research & Development,Research Director,0.034,LOW,Natural Sciences Managers,1,Microsoft Office software,Priority: Microsoft Office software -> Microsoft Office Essentials
30,Barbara Wilson,Research & Development,Research Scientist,0.221,LOW,Natural Sciences Managers,4,"Microsoft Office software, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
31,Kimberly Kowalski,Research & Development,Research Scientist,0.346,MEDIUM,Natural Sciences Managers,1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
32,Hassan Adams,Research & Development,Manager,0.009,LOW,General and Operations Managers,4,"Active Learning, Active Listening, Microsoft Excel, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
33,Robert Chowdhury (33),Research & Development,Research Scientist,0.913,HIGH,Natural Sciences Managers,3,"Critical Thinking, Science, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
35,Elizabeth King,Sales,Sales Executive,0.255,LOW,Sales Managers,4,"Active Learning, Active Listening, Monitoring, Speaking",Priority: Active Listening -> Active Listening for Managers
36,Vikram Kumar,Research & Development,Healthcare Representative,0.036,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Listening, Microsoft Excel, Salesforce software, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
38,Ali Chen (38),Sales,Manager,0.44,MEDIUM,General and Operations Managers,3,"Microsoft Excel, Microsoft Office software, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
39,Patricia Hill,Research & Development,Laboratory Technician,0.44,MEDIUM,Chemical Technicians,3,"Critical Thinking, Monitoring, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
40,Pooja Hill,Research & Development,Healthcare Representative,0.019,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Active Learning, Active Listening",Priority: Active Listening -> Active Listening for Managers
41,Ling Hassan,Research & Development,Laboratory Technician,0.459,MEDIUM,Chemical Technicians,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
42,Wang Miller,Sales,Sales Representative,0.185,LOW,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
45,Ling Jones,Research & Development,Research Scientist,0.756,HIGH,Natural Sciences Managers,2,"Reading Comprehension, Science",Priority: Reading Comprehension -> Business Writing & Comprehension
46,Robert Anderson,Research & Development,Research Scientist,0.005,LOW,Natural Sciences Managers,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
47,Hassan Brown,Sales,Sales Representative,0.886,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
49,William Patel,Sales,Sales Representative,0.23,LOW,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Active Listening, Microsoft Office software, Salesforce software",Priority: Active Listening -> Active Listening for Managers
51,Fatima Rodriguez,Research & Development,Research Scientist,0.818,HIGH,Natural Sciences Managers,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
52,Sandra Singh (52),Sales,Sales Executive,0.123,LOW,Sales Managers,3,"Microsoft Office software, Microsoft Outlook, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
53,Lee Miller,Research & Development,Laboratory Technician,0.2,LOW,Chemical Technicians,4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
54,Tran Nguyen,Research & Development,Laboratory Technician,0.215,LOW,Chemical Technicians,4,"Active Listening, Microsoft Outlook, Reading Comprehension, Writing",Priority: Active Listening -> Active Listening for Managers
55,Olga Nguyen,Research & Development,Laboratory Technician,0.898,HIGH,Chemical Technicians,2,"Active Listening, Science",Priority: Active Listening -> Active Listening for Managers
56,Andrew Green,Sales,Sales Executive,0.334,MEDIUM,Sales Managers,2,"Critical Thinking, Monitoring",Priority: Critical Thinking -> Structured Problem Solving workshop
57,Sanjay Thomas,Research & Development,Laboratory Technician,0.265,LOW,Chemical Technicians,2,"Monitoring, Science",Priority: Monitoring -> Performance Monitoring & KPIs
58,Christopher Perez,Research & Development,Research Director,0.105,LOW,Natural Sciences Managers,3,"Critical Thinking, Microsoft Excel, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
